en	ar
To follow the start of the wind's journey, follow this.	لإتّباع البدايةِ مِنْ رحلةِ الريحَ، يَتْبع هذه.
Down here at sea level, my leaf drifts lazily until it is lifted up by the rising warm air.	هُنا في مستوى البحر , تَنجرفُ ورقتَي بتكاسل إلى أنْ يَرْفعُ بالهواءِ الدافئِ المتصاعدِ.
Way above, a huge pattern emerges.	الطريق لفوق , نمط ضخم يَظْهرُ.
The world's winds are locked into an endless cycle.	رياح العالمَ مغلقة إلى دورةِ لانهائيةِ.
If you could see it, it would look something like this.	إذا أنت يُمْكِنُ أَنْ تَراه , هو يُظهر شيءَ مثل هذا.
Warm air rises from the equator and hits the tropopause.	إرتفاعات جوية دافئة مِنْ خطِ الإستواء وتَضْربُ التروبيبوز.
It then slides north and south before sinking back down to Earth and returning to the equator as the winds we feel on land or sea.	هو ثمّ يَمْرُّ شمالاً وجنوبَ قبل غَرَق يَتراجعُ إلى الأرضِ ويَعُودُ إلى خطِ الإستواء بينما نَشْعرُ بالرياح على الأرضِ أَو البحرِ.
This process then repeats itself in a further two enormous wind cycles both north and south.	هذه العمليةِ ثمّ تُكرّرُ نفسها في أبعد دراجتا ريحِين هائلتينِ تدور في كلا الشمال والجنوب.
These six wind cells constantly try to balance the temperature between the freezing poles and the sweltering equator.	هذه الستّة خلايا الريحِ بشكل ثابت محاولةِ لمُوَازَنَة درجةِ الحرارة بين الأقطابِ المُجَمِّدةِ وخط الإستواء المُحْتَرّ.
Think of it as the earth's air conditioning system.	يَعتبرُه كالأرضِ نظامِ تكييف .
If it didn't exist, the poles would be 25 degrees colder and the equator would be 14 degrees hotter.	إذا هو لَمْ يَجدْ , الأقطاب سَتَكُونُ 25 درجةَ أبردَ وخط الإستواء سَيَكُونُ أربعة عشر درجة أحرّ.
And all this from a place of dead calm.	وكُلّ هذا مِنْ مكان مِنْ الهدوء التامِّ.
In the days of sail, being adrift in the doldrums was every sailor's nightmare.	في أيام الشراعِ، أنْ يَكُونَ عائم في الكساد كَانَ كُلّه كابوس البحّارِ.
Water on board was limited.	ماء في الداخل حُدّدَ.
When that was gone, so were your chances of survival.	عندما إختفىَ ذلك , وكذلك فرصكَ مِنْ البقاءِ.
Stuck here alone with just my book is how countless sailors must have found themselves.	إلتصقَ هنا لوحده مَع فقط كتابي كَمْ بحّارة غير معدودون لا بدَّ وأنْ وَجدوا أنفسهم.
We came across a calm so endless that we saw no end in it - except death.	صادفنَا هدوء لانهائي جداً بأنّنا ما رَأينَا أي نهايةِ فيه - ماعدا الموتِ.
That's how one sailor remembered it.	الذي كَمْ بحّار واحد تَذكّرَه.
Nowadays, it's hard to imagine the torture of waiting for the wind sailors endured.	في الوقت الحاضر، من الصعب تَخَيُّل التعذيبِ إنتِظار البحّارةِ الريحَ تَحمّلَ.
But of course, if you survived long enough, the winds would come again.	لكن بالطبع، إذا بَقيتَ لمدة طويلة بما فيه الكفاية , الرياح تَجيءُ ثانيةً.
That's because the doldrums follow the seasons.	ذلك لأن الكسادَ يَتْلي الفصولَ.
As summertime moves from the northern to the southern hemisphere, the areas of intense heat that create the doldrums moves south, dragging them with it.	بينما يَنتقلُ الصيفُ من الشماليِ إلى نصف الكرة الأرضيةِ الجنوبيةِ , مناطق الحرارةِ الحادّةِ التي تَخْلقُ الكسادَ يَتحرّكُ جنوباً , يَسْحبُهم مَعه.
Then the winds created by that huge global system eventually return.	ثمّ الرياح خَلقتْ بتلك الضخمةِ نظام عالمي في النهاية يعود.
I can feel that breeze now.	أنا يُمْكِنُ أَنْ أَحسَّ بالنسيمِ الآن.
Let's get outta here!	دعنا نَخْرجُ من هنا!
Every wind on Earth begins its cycle here.	كُلّ ريح على الأرضِ تَبْدأُ دورتَها هنا.
To see what they can do, I'm off to experience all I can of this invisible force, from the fury of a tornado to the terrifying gales of the Pacific Ocean;	لرُؤية ما يُمْكِنُ أَنْ يَعملونَ، أَنا مِنْ أُواجهُ كُلّ ما يُمْكِنُ أَنْ هذه القوةِ المخفيةِ , مِنْ غضبِ الإعصار إلى العواصفِ المرعبةِ للمحيط الهادي؛
from the icy blasts of an Arctic morning and the cooling breeze of a summer day.	مِنْ الإنفجاراتِ المتجمّدةِ لصباحِ قطبيِ ونسيم تَبريد يوم صيفي.
To get an idea of what to expect, I have to go underground.	لتَكوين فكرةَ ما تَتوقّعُ , يَجِبُ أَنْ أَنْزلَ تحت الأرض.
Wind is measured by the force it exerts on an object.	ريح مُقاسة بالقوةِ تمارسُ على جسمِ.
Today, that object is going to be me.	اليوم، ذلك الجسمِ سَيصْبَحُ أنا.
This place can produce wind speeds in excess of 200 miles an hour.	هذا المكانِ يُمْكِنُ أَنْ يُنتجَ سرعةَ ريحِ في الزيادةِ مِنْ 200 ميلِ في السّاعة.
It's funnel-shaped, so the wind speed increases as the air gets squeezed.	هو قمعيُ، لذا سرعة الريحَ تزِيدُ بينما الهواء يُصبحُ معصوراً.
Up there, where I will stand, the wind is seven times faster than down here.	فوق هناك، أين أنا سَأَقِفُ، الريح سبع مرات أسرع مِنْ هُنا.
So it's a great place to feel the full force of it.	لذا هو مكان عظيم لإحْساْس القوةِ الكاملةِ منها.
The speed of wind is measured using the Beaufort scale.	سرعة الريحِ مدروسةُ تَستعملُ مقياس بوفورتَ.
This is Force 2 - about six to ten miles an hour.	هذه القوةُ - اثنين حوالي ستّة إلى عشَر أميالِ في السّاعة.
It feels like the gentle breeze of a summer's day.	تشْعرُ مثل النسيمِ اللطيفِ ليوم الصيفِ.
But at 25 to 30 miles per hour, things are picking up.	لكن في 25 دقيقة إلى 30 ميلَ بالسّاعة , أشياء تَرتفعُ.
This is Force 6, a strong breeze where big trees sway and you have to fight your umbrellas.	هذه قوةُ 6, نسيم قوي حيث أشجار كبيرة تتُذبذبُ وأنت يَجِبُ أَنْ تُحاربَ مظلاتَكَ.
At 40 miles an hour	في 40 ميلِ في السّاعة
- Force 8 - it's getting tough to stand up.	- القوة الثامنةُ - هو يُصبحُ قاسي للنُهُوض.
A few miles an hour more and there'll be slight damage to your house.	بضعة أميال في ساعة أكثر وهناك سَتَكُونُ الضرر الطفيف إلى بيتِكَ.
